Альфред Нобель	Он прочёл в газете свой некролог, после чего и премию учредил.
Нильс Хенрик Абель	Полное имя норвежского математика Абеля
свой некролог	Именно это прочёл в газете Альфред Нобель, что сподвигло его на учреждение премии.
Убийство на улице Трианон	Изначально "Убийство на улице Морг" называлось так.
Убийство на улице Морг	В этом рассказе сначала был Трианон.
Сарматизм	Шляхетская идеология, доминировавшая в Речи Посполитой в XVI-XIX веках. Возводил польскую шляхту к древним ИКСам, которые по воззрениям того времени считались кочевым германским народом; тем самым шляхтичи отделяли себя от массы простолюдинов (славян и литовцев). Название идеологии.
Березина	На этой реке был разгромлен Наполеон в 1812 году.
Удар мечом	Когда посвящают в рыцари, выполняется это.
Чикаго	Город ветров
Город ветров	прозвище Чикаго (по одной из версий, из-за высотных зданий и планировки)
Пьер-Жозеф Прудон	Автор цитаты "Анархия -- мать порядка"
Бальдр	в германо-скандинавской мифологии один из асов, бог весны и света.
Бальдр	Сын Одина и Фригг. Известен своим погребением. Его убил слепой брат Хёд, что подстроил Локи.
Квантовое го	В НЁМ камень может одновременно находиться в двух местах, что должно быть слишком сложным для компьютера.
Том Мур	Ветеран Второй Мировой Войны, создал флэшмоб о хождении пешком. Его посвятили в рыцари, когда ему было 99 или 100 лет.
You'll never walk alone	В записи этой песни принял участи Том Мур, который создал флэшмоб о хождении пешком.
Зорро	Изначально ОН был персонажем народного творчества жителей Новой Испании, известный с начала XVII века
Октавио Пас	Мексиканский поэт, эссеист-культуролог, переводчик, политический публицист, исследователь цивилизаций Запада и Востока. Нобелевская премия 1990 года.
Октавио Пас	Обладатель НП по литературе за 1990 год.
1901	В этом году было первое вручение Нобелевских премий.
Радиевые девушки	Название, под которым стали известны женщины, работавшие на предприятии американской корпорации United States Radium Corporation в городе Ориндж, Нью-Джерси, в 1917—1926 годы.
Жан Батист Симеон Шарден	Автор известной картины "Прачка" (1733)
мокбастер	низкобюджетный фильм, который снимается на ту же тему, что и популярный блокбастер.
госпитальеры	Этот орден располагался на Мальте, примерно с 1530.
госпитальеры	основанная в 1099 году в Иерусалиме в качестве амальфийского госпиталя христианская организация, целью которой была забота о неимущих, больных или раненых пилигримах в Святой земле.
Гарри Поттер	у него на лбу шрам в виде молнии
молния	У Гарри Поттера на лбу шрам в виде неё
Битва при Азенкуре	Крупное сражение, состоявшееся 25 октября 1415 года между французскими и английскими войсками близ местечка в Северной Франции во время Столетней войны. Особенность этого сражения заключается в том, что имевшая многократное численное превосходство французская армия потерпела сокрушительное поражение, понеся существенные потери.
Битва при Азенкуре	Она должна ассоциироваться с "застреляли луками превосходящую армию".
Договор в Труа	договор, заключённый между французами и англичанами в период Столетней войны 21 мая 1420 года во французском городе. Он был следствием битвы при Азенкуре, где победили англичане, и гласил, что Генрих V, король Англии, объявляется наследником Карла VI Безумного, короля Франции, в обход законного наследника дофина (будущего Карла VII), что фактически означало присоединение Франции к Англии.
Анна Болейн	Вторая жена Генриха VIII Тюдора. Казнена.
апельсиновый мармелад	медвежонок Паддингтон любит есть ЕГО.
Уроки французского	рассказ русского писателя Валентина Распутина. Впервые появился в 1973 году в иркутской комсомольской газете «Советская молодёжь» в номере, посвящённом памяти Александра Вампилова.
Валентин Распутин	рассказ "Уроки французского", 1973, автор
Магдалина Покровская	Советский бактериолог. Вколола себе противочумную вакцину для исследования.
квадистка	Спорстменка в фигурном катании, которая выполняет четверной прыжок.
Лейден	Рембрандт родился в этом городе.
Трериксрёсет	пограничная точка, в которой сходятся границы Швеции, Норвегии и Финляндии.
Норвегия, Финляндия, Швеция	В точке Трери́ксрёсет сходятся границы этих государств (через запятую по алфавиту).
враг народа	Закон от 22 прериаля II года вводил это понятие.
Регана и Гонерилья	Две дочери короля Лир, между которыми разделили наследное королевство.
Пётр Врангель	Получил прозвище «чёрный барон» за свою традиционную (с сентября 1918 года) повседневную форму одежды — чёрную казачью черкеску с газырями.
Чёрный барон	Пётр Врангель, прозвище
Николай Некрасов	стихотворение "Железная дорога", 1864, автор
Железная дорога	стихотворение Николая Некрасова, написанное в начале 1864 года. Запрещённое цензурой в мае и впервые опубликованное 24 ноября 1865 года в октябрьском номере «Современника», оно считается одним из самых сильных антикапиталистических выступлений русской литературы XIX века.
Усатый Нянь	В этом фильме опытную няню звали Арина Родионовна.
Лысая гора	место распятия Иешуа в романе "Мастер и Маргарита"
Ящик Скиннера	лабораторный прибор, используемый для изучения поведения животных.
Беррес Фредерик Скиннер	Американский психолог, изобретатель и писатель. Бихевиорист. В честь его и ящик назвали.
Ульяна Яковлевна	Имя и отчество ДРУГОЙ няни Пушкина.
Кристина	роман Стивена Кинга о машине, которая ведёт себя, как женщина. Еще до публикации роман был экранизирован режиссёром Джоном Карпентером в 1983 году.
Новая надежда	Эпизод IV ЗВ, 1977 год. Первая выпущенная часть во франшизе.
Зона Златовласки	условная область в космосе, определённая из расчёта, что условия на поверхности находящихся в ней планет будут близки к условиям на Земле и будут обеспечивать существование воды в жидкой фазе. Соответственно, такие планеты (или их спутники) будут благоприятны для возникновения жизни, похожей на земную. В английской литературе именуется именно так.
Златовласка	В английской версии сказки про "Трёх медведей" героиню зовут так.
Миранда	В 1948 году Джерард Койпер открыл этот спутник Урана.
Буря	Миранда -- героиня Шекспира из этой пьесы
1977	Первый фильм ЗВ (Эпизод 4: Новая надежда) вышел в этом году.
адюльтер	в "Алой букве" алая буква означает это слово
Натаниэль Готорн	"Алая буква", 1850, автор
нос Микеланджело	Пьетро Торриджано из зависти сломал его
Пьетро Торриджано	ОН обучал Микеланджело и из зависти сломал ему нос.
В дороге	Роман Джека Керуака, 1951, редактировался в 1957. Культовая книга бит-поколения.
Джек Керуак	"В дороге" (On the road), 1951, автор
Нил Кэссиди	прототипом Дина Мориарти в романе Керуака "В дороге" был он.
Фаина Раневская	ОНА озвучивала Фрёкен Бок в советском мультфильме про Карлсона.
Весна	Аллюзии к этому фильму вставила Фаина Раневская в озвучку Фрёкен Бок в советском мультфильме.
Приём Геймлиха	Если человек подавился/поперхнулся, то применяется ОН (вдавление кулака в живот).
Choking Charlie	Так называется манекен, на котором тренируют приём Геймлиха.
Екатерина II	5 (16) ноября 1796 она ушла в уборную и там её смертельно парализовало, а на следующий день она умерла.
Версальский мирный договор	важнейший из серии мирных договоров, завершивших Первую мировую войну; документ, подписанный во Франции 28 июня 1919 года
Андорра	Эта страна не была упомянута в Версальском мирном договоре, и официально была в состоянии войны с Германией до 1958 года.
Сорок семь ронинов	основанное на реальных событиях японское народное предание, повествующее о мести бывших самураев за смерть своего господина. Словами.
Джон Уилкс Бут	американский актёр, убийца президента Линкольна.
Sic semper tyrannis	Эта фраза ассоциируется с убийством Бутом Линкольна, Брутом Цезаря и прочими аналогичными убийствами. Является официальным девизом штата Виргиния. На латыни.
Так всегда будет с тиранами	Sic semper tyrannis, вариант перевода.
шерочка с машерочкой	Это выражение пошло из времён институтов благородных девиц, когда на институтских балах нельзя было присутствовать мужчинам, и танцевать приходилось девушке с девушкой.
Эдвард Энтони Дженнер	английский врач, разработал вакцину — против натуральной оспы, прививая неопасный для человека вирус коровьей оспы.
Лезвие бритвы	роман советского писателя Ивана Ефремова, написанный в период с 1959 по 1963 год. В сюжете переплетены приключенческий роман, психиатрические теории и практики, любовные линии, философские и научные размышления.
Иван Ефремов	Роман "Лезвие Бритвы", опубл. 1964. Автор.
Чедвик Боузман	28 августа 2020 умер этот исполнитель роли "Черной пантеры" во вселенной Marvel.
Черная пантера	Чедвик Боузман наиболее известен этой ролью в киновселенной Marvel.
гермафродит	Это слово происходит от имён Афродиты и Гермеса
Гермес и Афродита	Слово "гермафродит" происходит от имён этих богов.
Мамочка Два Тапочка	Чернокожая хозяйка Тома из "Тома и Джерри" зовётся так. Без дефисов.
Человек - швейцарский нож	Фильм 2016 года с Полом Дано и Дэниелом Рэдклиффом. Трагикомедия.
Неаполь	Везувий расположен в 15 км от этого города.
Каррара	Знаменитый мрамор добывается в этом итальянском городе.
Каппадокия	историческое название местности на востоке Малой Азии на территории современной Турции (часть земель илов Невшехир, Кайсери, Аксарай и Нигде), употребляющееся со времён античности вплоть до наших дней. Характеризуется чрезвычайно интересным ландшафтом вулканического происхождения, подземными городами, созданными в I тыс. до н. э. и обширными пещерными монастырями, ведущими свою историю со времён ранних христиан.
Конь БоДжек	американский анимационный трагикомедийный сериал о павшей звезде шоу-бизнеса, антропоморфном коне.
краснокожая	У Маяковского "паспортина" была такая.
пурпурный	У Маяковского паспорт -- это книжица такого цвета (им. п.)
Окна сатиры РОСТА	серия плакатов, созданная в 1919—1921 годах советскими поэтами и художниками, работавшими в системе Российского телеграфного агентства.
Российское телеграфное агентство	РОСТА в "Окна РОСТА" -- это ОНО.
Нью-Джерси	Devils -- это команда НХЛ из этого штата
щитомордник	вид ядовитых змей подсемейства ямкоголовых семейства гадюковых. Голова широкая, с хорошо выраженным шейным перехватом.
Генри Хиггинс	Профессор фонетики из "Пигмалиона" Шоу.
Элиза Дулиттл	Главная героиня "Пигмалиона" Шоу. Цветочница, которую учат великосветскому произношению.
частица бога	в заголовке книги нобелевского лауреата Леона Ледермана Бозон Хиггса назван ТАК.
бозон бутылки шампанского	Многие учёные не одобряют название "частица бога" для бозона Хиггса, считая более подходящим ЭТО НАЗВАНИЕ (из-за формы потенциала комплексного поля Хиггса).
письмо из Хогвартса	В 11 лет Гарри Поттер получил его
11	Во столько лет Гарри Поттер получил письмо из Хогвартса. Цифрами.
Правило пяти секунд	концепция, утверждающая возможность безопасного употребления продуктов, упавших на пол и загрязнённых по логике произошедшего события.
Рохан	ЕГО столицей является крепость Эдорас, расположенная на холме в долине Белых гор. (Толкин)
Венесуэла	боливар -- это денежная единица этой страны
боливар	Денежная единица Венесуэлы
Боб Дилан	Death is not the end -- это его песня
Война в раю	Операция Град - Operation Hailstone - операция в Микронезия 17-18 февраля 1944 года. Бомбардировска США японских ВМС. Известна под ЭТИМ НАЗВАНИЕМ.
Война за ухо Дженкинса	колониальная война между Англией и Испанией, которая велась главным образом в бассейне Карибского моря. Длилась с 1739 по 1742 годы и плавно перетекла в более крупное общеевропейское противостояние — Войну за австрийское наследство, к которой стала своеобразным прологом. Ироническое название было дано англичанами по отрезанному ЕМУ капитана торгового судна, которое тот в 1738 году преподнёс английскому парламенту в качестве доказательства насильственных действий испанцев против английских мореплавателей, что и послужило формальным поводом к войне. Ироничное название этой войны.
Имельда Маркос	Эта жена филиппинского диктатора известна своей огромной коллекцией обуви, которая в сгнившем виде была найдена в Национальном музее Манилы.
Манила	Столица Филиппин
Апокалипсис	Этот фильм Мела Гибсона снят юкатекском языке (язык майя), поэтому получил премии "Золотой глобус" и BAFTA как фильм на иностранном языке.
IBM	HAL 9000 - HAL может являться отсылкой к названию этой фирмы, со сдвигом на одну букву в алфавите.
HAL 9000	IBM должен ассоциироваться с этим вымышленным компьютером (сдвиг букв в алфавите).
Артур Кларк	«2001: Космическая одиссея», 1968. Автор романа.
свастика	ОНА изображалась и на этикетах "Карлсберга" и "Кока-Колы".
Война за Асьенто	В Испании конфликт известен под этим названием, без уха Дженкинса.
Николай Рерих	Этот художник должен щёлкать на оккультизм и спиритизм, эзотерику и йогу.
Роланд	Этот герой французского эпоса погиб в 778 году в баскском ущелье Ронсеваль, когда Карл Великий возвращался из похода на Испанию.
самолёты	в фильме 2005 года был бой Кинг-Конга с НИМИ.
Кинг Конг	ОН дрался с самолётами в фильме 2005 года. Без дефиса.
Плутон	Когда Геракл ходил добывать Цербера, то боролся с НИМ и ранил его в плечо.
Плутон	У этого древнегреческого бога была шапка-невидимка.
Гермес	"вестник богов", греческая мифология
Меркурий	"вестник богов", римская мифология
Имперские штурмовики	Они практически не попадают своей стрельбой в главных, положительных героев. Двумя словами.
штурмовики	"Массово не попадают" в цель. Кто должен щёлкать? Одним словом.
финны	ОНИ "умеют молчать на разных языках".
Далеки	внеземная раса мутантов из британского научно-фантастического телесериала «Доктор Кто». Известны фразой Exterminate.
Веспасиан	"Деньги не пахнут" приписывается этому императору.
Шелдон Купер	"Ах, гравитация, бессердечная ты сука!" -- цитата из этого персонажа.
гравитация	Шелдон Купер из ТБВ назвал бессердечной сукой ЕЁ.
лакмус красный в кислоте	мнемоника "лак раскис" помогает запомнить ЭТО
лак раскис	Красный цвет лакмуса в кислоте помогает запомнить эта мнемоника.
1965	Сингапур получил независимость от Малайзии в этом году
Гедимин	великий князь литовский с 1316 по 1341 год, основатель династии. Считается первым монархом, убитым из огнестрельного оружия (при осаде крепости Баербург)
Горе от ума	"Кричали женщины: ура! И в воздух чепчики бросали" - крылатое выражение из этой комедии.
Годзилла	Японский персонаж. Монстр, проснувшийся из анабиоза после испытаний водородной бомбы и вследствие этого мутировавший.
Карл Брюллов	Картина "Всадница", 1832. Художник.
Одиссей	Он залепил остальным уши воском, а себя велел привязать к мачте.
залепить уши воском	Когда плывёшь мимо сирен, нужно СДЕЛАТЬ ЭТО.
сирены	Одиссей велел залепить уши воском, чтобы не слышать ИХ.
Куропаты	Лесное урочище на северо-восточной границе Минска, где были обнаружены массовые захоронения расстрелянных в конце 1930 — начале 1940-х годов. По данным белорусской прокуратуры, урочище являлось местом массовых расстрелов и захоронений репрессированных органами НКВД в 1937—1940 годах.
Премия Ласкера	американская премия в области медицинских наук, которую вручают с 1946 года и рассматривают как «вторую Нобелевскую для США»
Ready-made	техника в разных видах искусства (главным образом — в изобразительном искусстве), при которой некоторые объекты или тексты, изначально созданные не с художественными целями, преобразуются автором в собственное произведение; техника «использования в искусстве вещей из магазина».
Например, "Фонтан" Дюшана.
Ответ по-английски.
Окаянные дни	книга русского писателя Ивана Бунина, содержащая дневниковые записи, которые он вёл в Москве и Одессе с 1918 по 1920 год. Неприятие большевиков и советской власти.
Под стеклянным колпаком	Автобиографический роман Сильвии Плат, 1963
Тед Хьюз	Муж Сильвии Плат, после расставания с которым она покончила с собой.
Сильвия Плат	После разрыва с Тедом Хьюзом она покончила с собой, засунув голову в духовку газовой плиты.
