Эжен Ионеско	Автор пьесы "Стулья" (1952).
Плутарх	"Сравнительные жизнеописания", автор.
Сравнительные жизнеописания	ЭТО произведение состоит из 23 парных биографий греков и римлян.
Курилка	Правила ЭТОЙ игры: играющие образуют круг, по которому передают из рук в руки горящую или тлеющую лучинку или соломинку и при этом по очереди поют песенку-присказку.
Темные века	историографический термин, подразумевающий период европейской истории с VI по X век. Характерной чертой этого времени называют отставание западного региона от Византии, мусульманского мира и Китая.
Эффект Зейгарник	Психологический эффект, заключающийся в том, что человек лучше запоминает прерванные действия, чем завершённые.
Эффект Овсянкиной	тенденция возобновлять прерванное действие, когда его результат ещё не достигнут. Эффект заключается в том, что прерванная задача, даже без стимула, ценится как «квазипотребность». Это создаёт навязчивые мысли, направленные на то, чтобы снова взяться за задачу.
Да не войдет не знающий геометрии!	Девиз Платоновской академии. Шестью словами.
Не геометр -- да не войдёт.	Девиз Платоновской академии. Пятью словами (более стремная форма).
Академия Платона	"Не геометр да не войдет" было написано на входе в НЕЁ.
Долгий парламент	ОН мог быть распущен только с согласия самих депутатов, и они не соглашались с его роспуском до окончания Английской гражданской войны и до конца периода междуцарствования в 1660 г.
Охвостье	обычно означает круп, то есть задний конец животного; в настоящее время использование данного термина, означающее «остаток» от фактически законного парламента, может применяться для обозначения представительного органа власти с чертами, характерными для состояния Парламента Англии в 1648—1652 годах.
Великая ремонстрация	акт, представлявший собой список злоупотреблений королевской власти, переданный королю Англии Карлу I Стюарту английским парламентом 1 декабря 1641 года, но принятый Палатой общин ещё 22 ноября того же года, в период работы Долгого парламента. Считается одним из важнейших документов первого этапа Английской революции, предшествовавшего началу Гражданской войны.
лорд-протектор	Титул Оливера Кромвеля в в 1653—1658 годах
Карл I	"Великую ремонстрацию" Долгий парламент выдвинул ЕМУ.
Оливер Кромвель	По приказу переизбранного парламента Англии через три дня ЕГО тело было эксгумировано вместе с телами Джона Брэдшо и Генри Айртона по обвинению в цареубийстве для посмертной казни.
Логотип "Мерседес-Бенц"	Символика ЭТОГО обозначала превосходство марки во всех направлениях: на земле, воде и в воздухе
Превоходство на земле, на воде и в воздухе	Логотип трёхлучевой звезды "Мерседес-Бенц" символизирует собой ЭТО.
Тайнобрачные растения	выделенная Карлом Линнеем группа растений, не имеющих цветков (папоротники, хвощи, плауны, селагинеллы, полушниковые, псилотовые и близкие к ним растения, мхи, водоросли, грибы и лишайники).
Явнобрачные	растения с цветками у Линнея назывались ТАК.
Гром-камень	мегалит, ставший основой пьедестала Медного всадника.
Медный всадник	Гром-камень стал ЕГО основанием
Петровский пруд	после изъятия Гром-камня возник ОН.
Чешир	Какое графство должно щёлкать на "Алису в стране чудес"?
Честер	Чешир по-архаичному называется ТАК.
Эдвард Лир	английский художник и поэт, один из основоположников «поэзии бессмыслицы» (англ. nonsensical poetry), автор многочисленных популярных абсурдистских лимериков.
Шир	вымышленная Дж. Р. Р. Толкином страна, описанная в трилогии романов «Властелин колец» и трилогии фильмов Питера Джексона «Властелин колец» и «Хоббит», а также других книгах, посвящённых миру Средиземья. Населён исключительно хоббитами и расположен в северо-западной части Средиземья.
хоббиты	В Шире живут ОНИ.
Сеул	Олимпиада 1988 проходила в ЭТОМ городе.
Пинг-понг	ОН стал олимпийским видом спорта на олимпиада 1988 в Сеуле.
1988	В ЭТОМ году пинг-понг стал Олимпийским видом спорта.
филантроп	"любитель людей" по-гречески.
Констанц	Ян Гус был сожжён в ЭТОМ городе.
1415	Ян Гус был сожжён в ЭТОМ году.
булла	основной средневековый папский документ с моливдовулом — печатью из свинца (при особых случаях — хрисовулом — из золота), после XV века издавался реже.
моливдовул	двусторонняя подвесная свинцовая печать, наиболее характерна для средневековых грамот.
имперский город	в Священной Римской империи город, подчинённый непосредственно императору, то есть граждане города (горожане, Bürgerschaft) платили налоги с доходов не в казну местных земельных феодалов — князей и герцогов, а непосредственно сюзерену.
