Капский полуостров	Столовая Гора находится на НЁМ.
Столовая гора	На севере Капского полуострова находится ОНА.
Спутники Урана	Все ОНИ названы в честь персонажей произведений Шекспира и Поупа.
Персонажи Уильяма Шекспира и Александра Поупа	Спутники Урана названы в честь НИХ.
Титания и Оберон	Уильям Гершель открыл ЭТИ два спутника Урана в 1787 году.
Похищение локона	Спутники Урана Ариэль и Умбриэль названы в честь героев ЭТОЙ поэмы Александра Поупа.
Александр Поуп	Согласно Оксфордскому словарю цитат, второй по цитируемости писатель на английском языке после Шекспира.
Белинда, Умбриэль, Ариэль	ЭТИ три спутника планеты Уран названы в честь героев поэмы Поупа «Похищение локона».
Армуду	Вид национальных стаканов, из которых в Азербайджане и Турции пьют чёрный байховый, довольно крепкий чай. В форме груши / женской фигуры.
Вера Мамонтова	Модель картины Валентина Серова «Девочка с персиками». Позировала для этой картины в 11 лет, а умерла в 32.
Карандаш	Тонкая форма усов, как у Ива Монтана.
Белые скалы Дувра	Извесные меловые скалы, обрамляющие английскую береговую линию пролива Па-де-Кале.
Па-де-Кале	Белые скалы Дувра находятся на береговой линии ЭТОГО пролива.
Дуврский замок	ОН с давних времён счтиается «ключом к Англии» из-за стратегически важного положения на острове.
Ключ к Англии	Прозвище Дуврского замка, данное ему из-за стратегически важного положения на острове.
Каждый мнит себя стратегом, видя бой со стороны.	Крылатое выражение из поэмы «Витязь в тигровой шкуре» классика грузинской средневековой литературы Шота Руставели (ок. 1172 — ок. 1216). 

Иносказательно: легко критиковать чужие действия, советовать, гораздо труднее сделать самому, то есть воплотить в жизнь хотя бы свои собственные советы (шутл.-ирон.).
Витязь в тигровой шкуре	Крылатое выражение «Каждый мнит себя стратегом, видя бой со стороны» взято из ЭТОГО произведения.
Диастема	Щель между передними (и любыми другими) по-научному называется не щербинка, а ТАК.
Графини Вишни	ОНИ были скреплены сверху общим черенком.
Умами	Вкус высокобелковой пищи, выделяемый в самостоятельный, пятый вкус в Китае, Японии и других странах Дальнего Востока.
Пятый вкус	Умами — это ТАКОЙ ОН.
Жаба на метле	Последней в «Тараканище» в списке после «медведей на велосипеде» была ОНА.
Раки на хромой собаке	После «комариков на воздушном шарике» ехали ОНИ.
Волки на кобыле, львы в автомобиле	После «раков на хромой собаке» ехали ПЕРВЫЕ и ВТОРЫЕ.
Зайчики в трамвайчике	После «львов в автомобиле» ехали ОНИ.
Сирин и Алконост	Две райские птицы, которые упоминаются в византийской и славянской мифологиях. Набоков брал псевдонимы в их честь.
Хронограф / Русский хронограф	Памятники древнерусской литературы, появлявшиеся во второй половины XV века и представляющие собой попытку систематизации исторических сведений. К данным, почерпнутым из византийских хронистов, присоединялись довольно отрывочные сведения о болгарской и сербской истории и вносились русские известия.

Назовите варианты названия из одного и двух слов.
Алконост	ЕЁ из славянской мифологии стали называть "птицей радости".
Сирин	ЕЁ из славянской мифологии стали называть "птицей тоской и печали".
Виктор Васнецов	«Сирин и Алконост. Птицы печали и радости», 1896 

Кто автор этой картины?
Сирин и Алконост. Птицы печали и радости	Картина Васнецова про славянских легендарных птиц называется ТАК.
Друг ситный	Как правило, ТАКОЙ хлеб ели с удовольствием, поэтому и ТАКОЙ ОН изначально — человек, при общении с которым испытываешь удовольствие.

Назовите ЕГО ТАКОГО.
Ситный хлеб (из просеянной через сито муки)	Выражение "друг ситный" связывают с выпечкой ЕГО.
Боязнь кластерных отверстий	Трипофобия — это ОНА (тремя словами).
Трипофобия	Страх перед кластерными отверстиями (то есть скоплениями отверстий).
1910	До 1986 года Комета появилась В ЭТОМ ГОДУ. Умер Марк Твен, согласно своему же предсказанию (Появился вместе с кометой Галлея, с ней вместе и исчезнем).
Марк Твен	ОН родился и умер в годы появления кометы Галлея.
1835	В ЭТОМ году родился Марк Твен и наблюдалась комета Галлея.
Шкала депрессии Бека	Депрессию измеряют в баллах от 0 до 63 по НЕЙ.
Депрессия	По шкале Бека измеряют ЕЁ.
Неизвестная	Картина Крамского называется ТАК, а НЕ как стихотворение Блока.
Три орешка для Золушки	У нас новогодний фильм — это Ирония Судьбы. 
А какой фильм традиционно показывают на Рождество в Германии (а также Чехии и Норвегии)?
Малахай	Исторический мужской головной убор в Центральной Азии, коническая меховая шапка с большими ушами.
Трекинг	В отличие от кернинга, регулирующего расстояние между знаками в определенных парах («AV», «TA» и прочие), ОН применяется к группе символов (слово, строка, абзац и так далее).
Кернинг	В группе символов (строка, абзац, слово) расстояние между буквами — трекинг, а расстрояние между парами букв — это ОН.
Rizz	Издательство Оксфордского университета, выпускающее наиболее авторитетный словарь английского языка, признало словом 2023 года ЭТО разговорное выражение, обозначающее персональные шарм и привлекательность.
charisma	Слово 2023 года rizz якобы происходит от ЭТОГО слова.
Индекс Перля	Чем ниже ЭТОТ показатель, тем надёжней метод контрацепции.
Индекс Перля	ОН равен числу незапланированных зачатий в течение одного года у 100 женщин при использовании того или иного метода контрацепции и характеризует его контрацептивное действие.
Эффективность метода контрацепции	Индекс Перля (Pearl index) измеряет ЕЁ (тремя словами).
Битва при Лепанто	Сервантесу покалечило (сделало неподвижным) левую руку в НЕЙ.
Мигель де Сервантес	ЕГО левая рука потеряла дееспособность в битве при Лепанто.
Идальго	в средневековой Испании человек, происходящий из благородной семьи и получающий свой особый статус по наследству, передававшийся только по мужской линии.
Однорукий из Лепанто	Прозвище Сервантеса после повреждения в битве.
Морроу	Морское мифическое существо в ирландской мифологии, схожее с морской девой или водяным.
Иван Иванович Кузнецов	ОН изобрёл известный в СССР псевдолечащий ипликатор.
Иван Иванович Кузнецов	ОН, по легенде, погиб в процессе испытания скафандра с иголками внутри.
Флаг Руанды	С сентября 1961 по 31 декабря 2001 на НЁМ была буква R. Уникальный случай!
Гвинея	На флаг Руанды в 1961 была помещена буква R, чтобы отличать от флага ЭТОЙ страны.
Оссиан	Легендарный кельтский бард, создатель гэльского эпоса. Как позже выяснилось, ЕГО тексты были подделкой и мистификацией.
Оссиан	От ЕГО лица написаны поэмы Джеймса Макферсона и его подражателей.
Джеймс Макферсон	Шотландский поэт, мистификатор, прославившийся «переводом» с гэльского поэм Оссиана, на самом деле написанных им самим.
Поэмы Оссиана	Сборник, впервые опубликованный в 1760 году и выданный их автором, Джеймсом Макферсоном, за древний кельтский эпос.
Фингал	Согласно преданию, Оссиан был сыном легендарного кельтского героя Финна Мак Кумала, у которого было ТАКОЕ прозвище (на самом деле прозвище ввёл Джеймс Макферсон).
Финн Маккул	легендарный герой кельтских мифов III в. н. э. Ирландии, Шотландии и острова Мэн, воин, мудрец и провидец. Двумя словами.
Фенийский цикл	ТАКОЙ ОН — Истории о Финне Мак Кумале и его соратниках, входивших в «Фиану Эйринн» (Фианна, фианы, фении).
Фении	Легендарная военная дружина древних ирландцев.
