Эдвард Хоппер	"Полуночники", 1942. Художник.
Полуночники	Самая известная картина Эдварда Хоппера, уголовой дом-закусочная в Манхэттене.
Эдип	Узнав, что он убил своего отца Лая и женился на свой матери, он выколол себе глаза.
Эдип	Он разгадал загадку Сфинкса о человеке ("кто ходит утром на четырёх ногах, днём — на двух, а вечером — на трёх")
Венера и Марс	Этих любовников изобразил Сандро Боттичелли на картине примерно 1483 года.
Венера и Марс	Они были любовниками, но их застал муж -- Вулкан.
Фавн	Этот римский бог ассоциируется с греческим Паном.
Сара Бернар	Какая актриса в молодом возрасте спала в гробу?
14	Сколько на Земле восьмитысячников?
Фердинанд де Лессепс	Архитектор Суэцкого канала
Машина Голдберга	Устройство, делающее простые операции суперсложными способами
Райнхольд Месснер	Первым покорил все восьмитысячники
Моаи	Статуи на острове Пасхи
Пит Мондриан	Художник, который рисовал квадраты жёлтого, синего и красного цветов.
гринго	Иностранец, англоговорящий выходец из другой страны. Используется для туристов итд в Латинской Америке.
Случай на мосту через Совиный ручей	Известный рассказ Амброза Бирса про ощущения повешенного.
Иордань	Христианская купель в форме креста
Близнецы	Фильм 1988 года со Шварценеггером и Де Вито
Демосфен	Держал камни во рту для ораторского искусства
Слейпнир	Восьминогий конь Одина
Крылов	Слона-то я и не приметил, фамилия автора
кунсткамера	"Слона-то я и не приметил", где был герой?
нереиды	морские нимфы в греческой мифологии
Марсель Дюшан	автор "Писсуара"
Фонтан	Настоящее название инсталляции "Писсуар"
Ив Кляйн	Синий монохром, автор
Альфред Вегенер	автор теории о дрейфе материков
Альфред Вегенер	создал предтечу теории о Пангее (едином сверхматерике)
Гея	"Земля" по-гречески
Филадельфия	"Город братской любви" / "Братолюбие", название города.
Лапута	Летающий остров
Гаити	С какого острова пошли легенды про зомби?
Девочка с воздушным шаром	Картина Бэнкси со шреддером
Сатоси Накамото	анонимный создатель биткоина
Хугин и Мунин	вороны Одина
Один	отец дружин
отец дружин	Один, кеннинг
Зеленая лампа	дружеское дворянское общество, в котором состоял Пушкин.
Симона де Бовуар	Возлюбленная Сартра
Иттербю	"Отдалённая деревня" в Швеции
Уильям Гарвей	Английский медик, открыл круг кровообращения
Три-Майл-Айлэнд	АЭС в США, на которой произошла авария в 1979 году
Метод локусов	Мнемонический метод для запоминания с помощью визуализации в пространстве
Геродот	Отец истории
Гаусс	Не прилагал подробного доказательства теорем
Мишель де Монтень	Опыты
Машина судного дня	Гипотетическое устройство, способное при срабатывании уничтожить всю жизнь на Земле, или даже саму Землю.
Социализм с человеческим лицом	Выражение из выступления Александра Дубчека, во время Пражской весны 1968
Пикассо	Написал посмертный портрет сталина в 1953 году
Золотые лотосы	Маленькие ноги женщин в результате бинтования ног в Китае, с Х по начало ХХ века.
Генрих VIII	У него было шесть жён
Йокнапатофа	Вымышленный вымышленный округ на юге США, в котором разворачиваются события большинства произведений Уильяма Фолкнера.
Катти Сарк	Единственный сохранившийся чайный клипер
Катти Сарк	("короткая рубашка" — кельтск.) — персонаж шотландских сказаний и поэмы Бернса — ведьма в короткой рубашке, танцующая в полях.
Отелло	В каком произведении платок (носовой) стал причиной гибели?
Фермопилы	Лучший парусный клипер (по гонкам)
Менины	Картина Веласкеса. Фрейлины, зеркало, Филипп IV
Дождь, пар и скорость	Картина Тёрнера с размытым поездом, 1844 год
Куб Неккера	Оптическая иллюзия, как мы видим чертёж прозрачного куба в зависимости от восприятия (какая грань на переднем плане, какая на заднем).
Джон Мильтон	"Потерянный рай", 1667, автор
Святой Маркуль	исцеляет от золотухи
