id,text,question,answer
1,Кончина Фидельки,Кто скончался?,Фидель
2,паста Фузилли,Что это?,паста Фузилли
3,— Евтушенко,Кто упомянут?,Евтушенко
4,а также все три рассказа из цикла,Сколько рассказов в цикле?,Все три рассказа
5,прозвище "строитель мостов",Какое прозвище?,строитель мостов
6,— правило золотого часа,Правило золотого часа – это?,Правило золотого часа
7,Чак Паланик по деду был украинец,Откуда Чак Паланик по деду?,из Украины
8,также поколения Y и Z,Какие поколения упомянуты?,Y и Z
9,почему черная пятница называется черной?,Почему Черная пятница называется черной?,Черная пятница
10,— основатель Найки,Кто основатель Найки?,Фил Найт
11,что такое "ривер" в покере?,Что такое "ривер" в покере?,Ривер
12,— Гарибальди один из лидеров Рисорджименто,Гарибальди – лидер чего?,Рисорджименто
13,— прозвище Каменная стена,Какое прозвище?,Каменная стена
14,— мы должны перейти эту реку и отдохнуть там в тени деревьев + Хэмингуэй,Кто сказал эту про реку и деревья?,Хемингуэй
15,Священная Римская империя — не священная, не римская и не империя,Это цитата про Священную Римскую империю — кто ее автор?,Вольтер
16,No Martini No Party,Запомните цитату?,No Martini No Party
17,— аммиачный дебют, конь H3 (Knight H3),Аммиачный дебют в шахматах ходит на?,Н3
18,Столпник стоял на одной ноге,Столпник что делал?,стоял на одной ноге
19,— собака и репейник. Велкро. Когда изобретена (1941),Когда изобрели велкро?,1941
20,— кобель хорт, сука хортица,Как называется кобель хорта?,кобель хорт
